region,degree,betweenness,closeness,pagerank,system
Occipital_Mid_R,81,0.0017255038505115347,0.9175257731958762,0.013059288735500708,Visual
Occipital_Inf_L,80,0.0013963409632214996,0.9081632653061225,0.013641065170876921,Visual
Occipital_Inf_R,77,0.0015662373908598773,0.8811881188118812,0.011541049699847684,Visual
Fusiform_L,82,0.0020440891431105866,0.9270833333333334,0.014195110101997713,Subcortical
Fusiform_R,79,0.0015054130499179503,0.898989898989899,0.012540598833978785,Subcortical
Postcentral_L,76,0.003395471490690604,0.8725490196078431,0.01013800991881743,Somatomotor
Postcentral_R,83,0.0018086080107320174,0.9368421052631579,0.013781651977187103,Somatomotor
Parietal_Sup_L,45,0.0008357404300670351,0.6691729323308271,0.006578423107724527,Attention
Parietal_Sup_R,82,0.002175778580860423,0.9270833333333334,0.012465391848825117,Attention
Parietal_Inf_L,80,0.0013063985268284204,0.9081632653061225,0.01203351693852805,Attention
Parietal_Inf_R,81,0.0013338422451992197,0.9175257731958762,0.013659883395796489,Attention
SupraMarginal_L,77,0.0016021187926011178,0.8811881188118812,0.010328772053262342,Attention
SupraMarginal_R,82,0.003286670625285549,0.9270833333333334,0.01219580876319911,Attention
Angular_L,76,0.001686603900720686,0.8725490196078431,0.009839815256737697,Attention
Angular_R,83,0.002242660820457405,0.9368421052631579,0.013491391821837688,Attention
Precuneus_L,84,0.0025135653504086194,0.9468085106382979,0.013259759963324996,Visual
Precuneus_R,84,0.0025135653504086194,0.9468085106382979,0.014496781607054542,Visual
Paracentral_Lobule_L,78,0.001724062258932499,0.89,0.011239981963641404,Somatomotor
Paracentral_Lobule_R,79,0.002939346484908504,0.898989898989899,0.010729654790923098,Somatomotor
Caudate_L,80,0.0019074366664528458,0.9081632653061225,0.01214955484113488,Subcortical
Caudate_R,79,0.0010676340617590857,0.898989898989899,0.012005475908812756,Subcortical
Putamen_L,84,0.002112755418465925,0.9468085106382979,0.01286949565887589,Subcortical
Putamen_R,80,0.0016139143821392097,0.9081632653061225,0.011163198891003506,Subcortical
Pallidum_L,71,0.0005310914664597374,0.8317757009345794,0.009219707674432292,Subcortical
Pallidum_R,68,0.00032348276640275294,0.8090909090909091,0.008107961761043465,Subcortical
Thalamus_L,82,0.0014466578074782371,0.9270833333333334,0.014137871410833069,Subcortical
Thalamus_R,82,0.002098169495564479,0.9270833333333334,0.013332945341690113,Subcortical
Heschl_L,76,0.0031744590987143905,0.8725490196078431,0.010111972524736876,Language
Heschl_R,14,0.00020124804298762006,0.5426829268292683,0.0030084064320826066,Language
Temporal_Sup_L,81,0.0019392857322985848,0.9175257731958762,0.013413335453793515,Language
Temporal_Sup_R,84,0.005326900842359518,0.9468085106382979,0.012788840319734294,Language
Temporal_Pole_Sup_L,82,0.00213095502265141,0.9270833333333334,0.013715840509659384,Language
Temporal_Pole_Sup_R,75,0.001847830858421011,0.8640776699029126,0.010419766102809003,Language
Temporal_Mid_L,83,0.001669118146349892,0.9368421052631579,0.014816496835431226,Language
Temporal_Mid_R,76,0.0025023845096329863,0.8725490196078431,0.011957997227997322,Language
Temporal_Pole_Mid_L,80,0.0011676688123591276,0.9081632653061225,0.012722508926536293,Language
Temporal_Pole_Mid_R,22,1.7546057050059712e-05,0.5705128205128205,0.0035248833721620073,Language
Temporal_Inf_L,83,0.0017575922358773566,0.9368421052631579,0.014697598070214502,Language
Temporal_Inf_R,80,0.0025573914478678058,0.9081632653061225,0.013164755850587224,Language
