region,degree,betweenness,closeness,pagerank,system,condition
Occipital_Mid_R,81,0.0017255038505115347,0.9175257731958762,0.013111567719293064,Visual,Depression
Occipital_Inf_L,80,0.0013963409632214996,0.9081632653061225,0.013696459943208157,Visual,Depression
Occipital_Inf_R,77,0.0015662373908598773,0.8811881188118812,0.011587613291612711,Visual,Depression
Fusiform_L,82,0.0020440891431105866,0.9270833333333334,0.014253400986748573,Subcortical,Depression
Fusiform_R,79,0.0015054130499179503,0.898989898989899,0.01258968363983555,Subcortical,Depression
Postcentral_L,76,0.003395471490690604,0.8725490196078431,0.010175610018698683,Somatomotor,Depression
Postcentral_R,83,0.0018086080107320174,0.9368421052631579,0.013837730861937483,Somatomotor,Depression
Parietal_Sup_L,45,0.0008357404300670351,0.6691729323308271,0.006518940038832845,Attention,Depression
Parietal_Sup_R,82,0.002175778580860423,0.9270833333333334,0.012358710543037747,Attention,Depression
Parietal_Inf_L,80,0.0013063985268284204,0.9081632653061225,0.011916586602814989,Attention,Depression
Parietal_Inf_R,81,0.0013338422451992197,0.9175257731958762,0.013578706607503863,Attention,Depression
SupraMarginal_L,77,0.0016021187926011178,0.8811881188118812,0.010242808423742164,Attention,Depression
SupraMarginal_R,82,0.003286670625285549,0.9270833333333334,0.012110173639089861,Attention,Depression
Angular_L,76,0.001686603900720686,0.8725490196078431,0.009763467227602922,Attention,Depression
Angular_R,83,0.002242660820457405,0.9368421052631579,0.013411288197261008,Attention,Depression
Precuneus_L,84,0.0025135653504086194,0.9468085106382979,0.013317887536055364,Visual,Depression
Precuneus_R,84,0.0025135653504086194,0.9468085106382979,0.014560918979965407,Visual,Depression
Paracentral_Lobule_L,78,0.001724062258932499,0.89,0.011285019221686671,Somatomotor,Depression
Paracentral_Lobule_R,79,0.002939346484908504,0.898989898989899,0.010771909369708366,Somatomotor,Depression
Caudate_L,80,0.0019074366664528458,0.9081632653061225,0.012203070728932857,Subcortical,Depression
Caudate_R,79,0.0010676340617590857,0.898989898989899,0.012058938881560014,Subcortical,Depression
Putamen_L,84,0.002112755418465925,0.9468085106382979,0.012924826845170649,Subcortical,Depression
Putamen_R,80,0.0016139143821392097,0.9081632653061225,0.011208680929633804,Subcortical,Depression
Pallidum_L,71,0.0005310914664597374,0.8317757009345794,0.009256803120821132,Subcortical,Depression
Pallidum_R,68,0.00032348276640275294,0.8090909090909091,0.008140308312153814,Subcortical,Depression
Thalamus_L,82,0.0014466578074782371,0.9270833333333334,0.014196946603841226,Subcortical,Depression
Thalamus_R,82,0.002098169495564479,0.9270833333333334,0.01338785831815495,Subcortical,Depression
Heschl_L,76,0.0031744590987143905,0.8725490196078431,0.010149904255687292,Language,Depression
Heschl_R,14,0.00020124804298762006,0.5426829268292683,0.0030131017325540285,Language,Depression
Temporal_Sup_L,81,0.0019392857322985848,0.9175257731958762,0.013468227881538366,Language,Depression
Temporal_Sup_R,84,0.005326900842359518,0.9468085106382979,0.012838647826854854,Language,Depression
Temporal_Pole_Sup_L,82,0.00213095502265141,0.9270833333333334,0.013772645783670021,Language,Depression
Temporal_Pole_Sup_R,75,0.001847830858421011,0.8640776699029126,0.010457820631301646,Language,Depression
Temporal_Mid_L,83,0.001669118146349892,0.9368421052631579,0.01488091682307494,Language,Depression
Temporal_Mid_R,76,0.0025023845096329863,0.8725490196078431,0.012004825267620133,Language,Depression
Temporal_Pole_Mid_L,80,0.0011676688123591276,0.9081632653061225,0.01277777750353553,Language,Depression
Temporal_Pole_Mid_R,22,1.7546057050059712e-05,0.5705128205128205,0.0035331950001275523,Language,Depression
Temporal_Inf_L,83,0.0017575922358773566,0.9368421052631579,0.01476065345652036,Language,Depression
Temporal_Inf_R,80,0.0025573914478678058,0.9081632653061225,0.013220572042040692,Language,Depression
Precentral_L,82,0.0021324760180325324,0.9270833333333334,0.013191605016835257,Somatomotor,Anxiety
Precentral_R,84,0.002057415286062969,0.9468085106382979,0.015198735181620536,Somatomotor,Anxiety
Frontal_Sup_L,82,0.00203115679774913,0.9270833333333334,0.012763544340391536,ExecutiveControl,Anxiety
Frontal_Sup_R,82,0.001807400846733206,0.9270833333333334,0.014030278666605204,ExecutiveControl,Anxiety
Frontal_Sup_Orb_L,42,0.0015312201649692527,0.6544117647058824,0.005387917559292973,ExecutiveControl,Anxiety
Frontal_Sup_Orb_R,79,0.0009084953848677123,0.898989898989899,0.011587074483745212,ExecutiveControl,Anxiety
Frontal_Mid_L,81,0.0015305212565628647,0.9175257731958762,0.013177941739410743,ExecutiveControl,Anxiety
Frontal_Mid_R,84,0.0025360839043661637,0.9468085106382979,0.013129777491594984,ExecutiveControl,Anxiety
Frontal_Mid_Orb_L,49,0.0010939907462545267,0.689922480620155,0.006735394466098218,ExecutiveControl,Anxiety
Frontal_Mid_Orb_R,76,0.002618164302363252,0.8725490196078431,0.009767087194281545,ExecutiveControl,Anxiety
Frontal_Inf_Oper_L,81,0.001331622589988926,0.9175257731958762,0.014009179601187012,Salience,Anxiety
Frontal_Inf_Oper_R,83,0.0018761082676546474,0.9368421052631579,0.014585581602897333,Salience,Anxiety
Frontal_Inf_Tri_L,83,0.001669118146349892,0.9368421052631579,0.014840378702244493,Subcortical,Anxiety
Frontal_Inf_Tri_R,83,0.0018086080107320174,0.9368421052631579,0.012950181332571215,Subcortical,Anxiety
Frontal_Inf_Orb_L,82,0.0023764063059219325,0.9270833333333334,0.013907651237355777,Subcortical,Anxiety
Frontal_Inf_Orb_R,77,0.0044795505269207,0.8811881188118812,0.010262013169568164,Subcortical,Anxiety
Rolandic_Oper_L,80,0.0029656108602539254,0.9081632653061225,0.01234396219252727,Somatomotor,Anxiety
Rolandic_Oper_R,46,0.0013187955708220942,0.6742424242424242,0.006836866839282951,Somatomotor,Anxiety
Supp_Motor_Area_L,82,0.0014936272950545025,0.9270833333333334,0.013600191048953804,Subcortical,Anxiety
Supp_Motor_Area_R,83,0.0022177078892724324,0.9368421052631579,0.013986202411268337,Subcortical,Anxiety
Olfactory_L,58,0.0012925585643010662,0.7416666666666667,-0.0024000150216529877,Subcortical,Anxiety
Olfactory_R,65,0.00136023944535273,0.7876106194690266,-0.004184219783717689,Subcortical,Anxiety
Frontal_Sup_Medial_L,77,0.001673033437059171,0.8811881188118812,0.010728674967834627,ExecutiveControl,Anxiety
Frontal_Sup_Medial_R,82,0.001979162324333814,0.9270833333333334,0.014143313482879517,ExecutiveControl,Anxiety
Frontal_Med_Orb_L,25,0.001227044213084352,0.5816993464052288,0.004027530672536639,Subcortical,Anxiety
Frontal_Med_Orb_R,82,0.0024457491269702708,0.9270833333333334,0.011267418104558101,Subcortical,Anxiety
Rectus_L,26,0.0007103491108491417,0.5855263157894737,0.0020075279891457057,Subcortical,Anxiety
Rectus_R,64,0.0012906558306972464,0.7807017543859649,-0.0037274348801034137,Subcortical,Anxiety
Insula_L,83,0.0022177078892724324,0.9368421052631579,0.013370568072657605,Salience,Anxiety
Insula_R,36,0.0008461971253670475,0.6267605633802817,0.005699581478491934,Salience,Anxiety
Cingulum_Ant_L,55,0.0019644132817436422,0.7235772357723578,0.007312393097145261,ExecutiveControl,Anxiety
Cingulum_Ant_R,75,0.0017914304476918676,0.8640776699029126,0.0105302060345573,ExecutiveControl,Anxiety
Cingulum_Mid_L,82,0.003710103851418102,0.9270833333333334,0.012895352379098514,Subcortical,Anxiety
Cingulum_Mid_R,84,0.003550595345117515,0.9468085106382979,0.01435854456891015,Subcortical,Anxiety
Cingulum_Post_L,74,0.0028405754283235027,0.8557692307692307,0.009373939093768187,DefaultMode,Anxiety
Cingulum_Post_R,76,0.0008956621648343412,0.8725490196078431,0.011969183850221176,DefaultMode,Anxiety
Hippocampus_L,81,0.0016503764152317566,0.9175257731958762,0.012714074219460138,Memory,Anxiety
Hippocampus_R,80,0.0019089927040183132,0.9081632653061225,0.01047213125134986,Memory,Anxiety
ParaHippocampal_L,76,0.0011922894002994176,0.8725490196078431,0.010286283893657973,Memory,Anxiety
ParaHippocampal_R,47,0.0013631602658563515,0.6793893129770993,0.006454940234240793,Memory,Anxiety
Amygdala_L,79,0.0011482249744815694,0.898989898989899,0.011798582108205065,Memory,Anxiety
Amygdala_R,74,0.0009610664411595781,0.8557692307692307,0.009528202363184723,Memory,Anxiety
Calcarine_L,83,0.0016251274634986334,0.9368421052631579,0.013056786127041798,Visual,Anxiety
Calcarine_R,83,0.003271387758487376,0.9368421052631579,0.012141399390402017,Visual,Anxiety
Cuneus_L,83,0.0022177078892724324,0.9368421052631579,0.012679192961303813,Visual,Anxiety
Cuneus_R,84,0.0024893532115660153,0.9468085106382979,0.014578721864573587,Visual,Anxiety
Lingual_L,82,0.00201789437527021,0.9270833333333334,0.014130229503242124,Visual,Anxiety
Lingual_R,81,0.0017255038505115347,0.9175257731958762,0.013006708056506727,Visual,Anxiety
Occipital_Sup_L,82,0.0019981579892702044,0.9270833333333334,0.01403087221532082,Visual,Anxiety
Occipital_Sup_R,81,0.0011815701677503675,0.9175257731958762,0.013202026754430274,Visual,Anxiety
Occipital_Mid_L,80,0.0009580524267465663,0.9081632653061225,0.014580326621099338,Visual,Anxiety
Occipital_Mid_R,81,0.0017255038505115347,0.9175257731958762,0.01306958987010272,Visual,Anxiety
Occipital_Inf_L,80,0.0013963409632214996,0.9081632653061225,0.013651830446693219,Visual,Anxiety
Occipital_Inf_R,77,0.0015662373908598773,0.8811881188118812,0.011551155080887289,Visual,Anxiety
Fusiform_L,82,0.0020440891431105866,0.9270833333333334,0.01420757535009015,Subcortical,Anxiety
Fusiform_R,79,0.0015054130499179503,0.898989898989899,0.012549931392390072,Subcortical,Anxiety
Postcentral_L,76,0.003395471490690604,0.8725490196078431,0.010144942211934712,Somatomotor,Anxiety
Postcentral_R,83,0.0018086080107320174,0.9368421052631579,0.013791184035889902,Somatomotor,Anxiety
Parietal_Sup_L,45,0.0008357404300670351,0.6691729323308271,0.006596261158208067,Attention,Anxiety
Parietal_Sup_R,82,0.002175778580860423,0.9270833333333334,0.012549106253629747,Attention,Anxiety
Parietal_Inf_L,80,0.0013063985268284204,0.9081632653061225,0.012126561281222867,Attention,Anxiety
Parietal_Inf_R,81,0.0013338422451992197,0.9175257731958762,0.013793317426530583,Attention,Anxiety
SupraMarginal_L,77,0.0016021187926011178,0.8811881188118812,0.010462931901221531,Attention,Anxiety
SupraMarginal_R,82,0.003286670625285549,0.9270833333333334,0.01235987274804328,Attention,Anxiety
Angular_L,76,0.001686603900720686,0.8725490196078431,0.009916860672584387,Attention,Anxiety
Angular_R,83,0.002242660820457405,0.9368421052631579,0.01359852422508584,Attention,Anxiety
Precuneus_L,84,0.0025135653504086194,0.9468085106382979,0.013274810056855995,Visual,Anxiety
Precuneus_R,84,0.0025135653504086194,0.9468085106382979,0.01451385130498232,Visual,Anxiety
Paracentral_Lobule_L,78,0.001724062258932499,0.89,0.01125027622790265,Somatomotor,Anxiety
Paracentral_Lobule_R,79,0.002939346484908504,0.898989898989899,0.010738370682297068,Somatomotor,Anxiety
Caudate_L,80,0.0019074366664528458,0.9081632653061225,0.012164428378923883,Subcortical,Anxiety
Caudate_R,79,0.0010676340617590857,0.898989898989899,0.012020578344436393,Subcortical,Anxiety
Putamen_L,84,0.002112755418465925,0.9468085106382979,0.012882334187603347,Subcortical,Anxiety
